Date,transactions
2013-01-02,[]
2013-01-03,[]
2013-01-04,[]
2013-01-07,[]
2013-01-08,[]
2013-01-09,[]
2013-01-10,[]
2013-01-11,[]
2013-01-14,[]
2013-01-15,[]
2013-01-16,[]
2013-01-17,[]
2013-01-18,[]
2013-01-22,[]
2013-01-23,[]
2013-01-24,[]
2013-01-25,[]
2013-01-28,[]
2013-01-29,[]
2013-01-30,[]
2013-01-31,[]
2013-02-01,[]
2013-02-04,[]
2013-02-05,[]
2013-02-06,[]
2013-02-07,[]
2013-02-08,[]
2013-02-11,[]
2013-02-12,[]
2013-02-13,[]
2013-02-14,[]
2013-02-15,[]
2013-02-19,[]
2013-02-20,[]
2013-02-21,[]
2013-02-22,[]
2013-02-25,[]
2013-02-26,[]
2013-02-27,[]
2013-02-28,[]
2013-03-01,[]
2013-03-04,"[{'amount': 1301, 'dt': Timestamp('2013-03-04 21:00:00+0000', tz='UTC'), 'price': 15.0075, 'order_id': '408efa3f68294a30b2fbfcdda35fe861', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-03-05,"[{'amount': 32, 'dt': Timestamp('2013-03-05 21:00:00+0000', tz='UTC'), 'price': 15.4077, 'order_id': 'ae49f29a547f468aa18eb6ebcce40c8a', 'sid': Equity(2 [AAPL]), 'commission': None}, {'amount': -1301, 'dt': Timestamp('2013-03-05 21:00:00+0000', tz='UTC'), 'price': 15.3923, 'order_id': 'de49bf5c6e6f41c5a8f272f793db5a83', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-03-06,"[{'amount': -32, 'dt': Timestamp('2013-03-06 21:00:00+0000', tz='UTC'), 'price': 15.192400000000001, 'order_id': 'e5e0157acb8842f680cf2058e91ba3a2', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-03-07,"[{'amount': 1322, 'dt': Timestamp('2013-03-07 21:00:00+0000', tz='UTC'), 'price': 15.387690000000001, 'order_id': '914faf38cac9414e85f2f272b2b7b031', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-03-08,"[{'amount': -1322, 'dt': Timestamp('2013-03-08 21:00:00+0000', tz='UTC'), 'price': 15.41229, 'order_id': '839eb3b4f6fe4897b014b72e3ae8d252', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-03-11,[]
2013-03-12,[]
2013-03-13,[]
2013-03-14,[]
2013-03-15,[]
2013-03-18,[]
2013-03-19,[]
2013-03-20,[]
2013-03-21,[]
2013-03-22,[]
2013-03-25,[]
2013-03-26,[]
2013-03-27,[]
2013-03-28,[]
2013-04-01,[]
2013-04-02,[]
2013-04-03,[]
2013-04-04,[]
2013-04-05,[]
2013-04-08,[]
2013-04-09,[]
2013-04-10,[]
2013-04-11,[]
2013-04-12,[]
2013-04-15,[]
2013-04-16,[]
2013-04-17,[]
2013-04-18,"[{'amount': 1397, 'dt': Timestamp('2013-04-18 20:00:00+0000', tz='UTC'), 'price': 14.007, 'order_id': '36e09c22cb4d4f0abc4e33f5044feae2', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-04-19,"[{'amount': 38, 'dt': Timestamp('2013-04-19 20:00:00+0000', tz='UTC'), 'price': 13.956975000000002, 'order_id': 'f7c1ca95697a4c8c8f4a0db83b203dbb', 'sid': Equity(2 [AAPL]), 'commission': None}, {'amount': -1397, 'dt': Timestamp('2013-04-19 20:00:00+0000', tz='UTC'), 'price': 13.943025, 'order_id': 'bded300ddc924b1d98662b9d5b48033e', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-04-22,"[{'amount': 1401, 'dt': Timestamp('2013-04-22 20:00:00+0000', tz='UTC'), 'price': 14.24712, 'order_id': '2d13e7eb15f249f18021f9b0b7d8f2bb', 'sid': Equity(2 [AAPL]), 'commission': None}, {'amount': -38, 'dt': Timestamp('2013-04-22 20:00:00+0000', tz='UTC'), 'price': 14.23288, 'order_id': 'e4f9a920a5c4470cad586812bb2a290a', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-04-23,"[{'amount': -1401, 'dt': Timestamp('2013-04-23 20:00:00+0000', tz='UTC'), 'price': 14.49275, 'order_id': '3b34db2c0aeb45e981b48eb783268a23', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-04-24,[]
2013-04-25,[]
2013-04-26,[]
2013-04-29,[]
2013-04-30,[]
2013-05-01,[]
2013-05-02,[]
2013-05-03,[]
2013-05-06,[]
2013-05-07,[]
2013-05-08,[]
2013-05-09,[]
2013-05-10,[]
2013-05-13,[]
2013-05-14,[]
2013-05-15,[]
2013-05-16,[]
2013-05-17,[]
2013-05-20,[]
2013-05-21,[]
2013-05-22,[]
2013-05-23,[]
2013-05-24,[]
2013-05-28,[]
2013-05-29,[]
2013-05-30,[]
2013-05-31,[]
2013-06-03,[]
2013-06-04,[]
2013-06-05,[]
2013-06-06,[]
2013-06-07,[]
2013-06-10,[]
2013-06-11,[]
2013-06-12,[]
2013-06-13,"[{'amount': 1305, 'dt': Timestamp('2013-06-13 20:00:00+0000', tz='UTC'), 'price': 15.577785, 'order_id': 'da909ffc4788446db1b91a4df5560ccb', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-06-14,"[{'amount': -1305, 'dt': Timestamp('2013-06-14 20:00:00+0000', tz='UTC'), 'price': 15.352319999999999, 'order_id': 'cc7d21e3129642d3a283ea104371b659', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-06-17,"[{'amount': 1308, 'dt': Timestamp('2013-06-17 20:00:00+0000', tz='UTC'), 'price': 15.437714999999999, 'order_id': 'e7126749f0e94e03b4d2ea98c64d7279', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-06-18,"[{'amount': -1308, 'dt': Timestamp('2013-06-18 20:00:00+0000', tz='UTC'), 'price': 15.41229, 'order_id': 'e70c240436be4db59eea7ed8b7459208', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-06-19,[]
2013-06-20,"[{'amount': 1329, 'dt': Timestamp('2013-06-20 20:00:00+0000', tz='UTC'), 'price': 14.897445000000001, 'order_id': 'eaed98df237a47d78d8c1a81e3908e44', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-06-21,"[{'amount': 20, 'dt': Timestamp('2013-06-21 20:00:00+0000', tz='UTC'), 'price': 14.777384999999999, 'order_id': '8dcdb48eb4a143c797b3c4e78744c6b2', 'sid': Equity(2 [AAPL]), 'commission': None}, {'amount': -1329, 'dt': Timestamp('2013-06-21 20:00:00+0000', tz='UTC'), 'price': 14.762615, 'order_id': '6d134b154f194509be8b3bf550fbdfa0', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-06-24,"[{'amount': 1337, 'dt': Timestamp('2013-06-24 20:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': 'e6fd3d30e82248f5883441d144722a5f', 'sid': Equity(2 [AAPL]), 'commission': None}, {'amount': -20, 'dt': Timestamp('2013-06-24 20:00:00+0000', tz='UTC'), 'price': 14.372810000000001, 'order_id': 'dec4ac01a27945cbace86fd7b161e1ce', 'sid': Equity(2 [AAPL]), 'commission': None}]"
2013-06-25,"[{'amount': 57, 'dt': Timestamp('2013-06-25 20:00:00+0000', tz='UTC'), 'price': 14.38719, 'order_id': 'f126c905c6a64280a9b78a7267fdec22', 'sid': Equity(2 [AAPL]), 'commission': None}, {'amount': -1337, 'dt': Timestamp('2013-06-25 20:00:00+0000', tz='UTC'), 'price': 14.372810000000001, 'order_id': 'f9bf1a0e8f3a4a7f842a3dd97e464a7d', 'sid': Equity(2 [AAPL]), 'commission': None}]"
